subject_category	subject_id	subject_label	predicate_id	object_id	object_label	confidence	comment	mapping_justification	mapping_date	creator_id
GLWD:WetlandClass	GLWD:FreshwaterLake	Freshwater lake	skos:exactMatch	ENVO:00000021	freshwater lake	1	Definitions match.	semapv:ManualMappingCuration	2026-08-28	https://orcid.org/0000-0003-2261-9931
GLWD:WetlandClass	GLWD:SalineLake	Saline lake	skos:exactMatch	ENVO:00000019	saline lake	1	Definitions match.	semapv:ManualMappingCuration	2026-08-28	https://orcid.org/0000-0003-2261-9931
GLWD:WetlandClass	GLWD:Reservoir	Reservoir	skos:exactMatch	ENVO:00000025	reservoir	1	Definitions match.	semapv:ManualMappingCuration	2026-08-28	https://orcid.org/0000-0003-2261-9931
GLWD:WetlandClass	GLWD:LargeRiver	Large river	skos:broadMatch	ENVO:00000022	river	1	The subject has a "large" qualifier that the object lacks.	semapv:ManualMappingCuration	2026-08-28	https://orcid.org/0000-0003-2261-9931
GLWD:WetlandClass	GLWD:LargeEstuarineRiver	Large estuarine river	skos:relatedMatch	ENVO:01000618	estuary	1	The subject refers to the estuarine influenced portion of the river, rather than an estuary itself.	semapv:ManualMappingCuration	2026-08-28	https://orcid.org/0000-0003-2261-9931
GLWD:WetlandClass	GLWD:OtherPermanentWaterbody	Other permanent waterbody	skos:broadMatch	ENVO:00000063	water body	1	The subject is a permanent open water body.	semapv:ManualMappingCuration	2026-08-28	https://orcid.org/0000-0003-2261-9931
GLWD:WetlandClass	GLWD:SmallStreams	Small streams	skos:exactMatch	ENVO:00000023	stream	1	Definitions match.	semapv:ManualMappingCuration	2026-08-28	https://orcid.org/0000-0003-2261-9931
GLWD:WetlandClass	GLWD:LacustrineForested	Lacustrine, forested	skos:broadMatch	ENVO:01000893	wetland ecosystem	1	The subject specifies the water source and plant type whereas the object refers to a broader water source and plant type	semapv:ManualMappingCuration	2026-08-28	https://orcid.org/0000-0003-2261-9931
GLWD:WetlandClass	GLWD:LacustrineNonForested	Lacustrine, non-forested	skos:broadMatch	ENVO:01000894	wetland ecosystem	1	The subject specifies the water source and plant type whereas the object refers to a broader water source and plant type	semapv:ManualMappingCuration	2026-08-28	https://orcid.org/0000-0003-2261-9931
GLWD:WetlandClass	GLWD:RiverineRegularlyFloodedForested	Riverine, regularly flooded, forested	skos:broadMatch	ENVO:01000893	wetland ecosystem	1	The subject specifies the water source, temporal nature, and plant type whereas the object refers to a broader water source, plant type	semapv:ManualMappingCuration	2026-08-28	https://orcid.org/0000-0003-2261-9931
