subject_category	subject_id	subject_label	predicate_id	object_id	object_label	confidence	comment	mapping_justification	mapping_date	creator_id
GloRiC:HydrologicClass	GloRiC:VerySmallRiver	very small river	skos:broadMatch	ENVO:00000022	river	1	The subject specifies a river size, whereas the object does not.	semapv:ManualMappingCuration	2026-08-28	https://orcid.org/0000-0003-2261-9931
GloRiC:HydrologicClass	GloRiC:SmallRiver	small river	skos:broadMatch	ENVO:00000022	river	1	The subject specifies a river size, whereas the object does not.	semapv:ManualMappingCuration	2026-08-28	https://orcid.org/0000-0003-2261-9931
GloRiC:HydrologicClass	GloRiC:MediumRiver	medium river	skos:broadMatch	ENVO:00000022	river	1	The subject specifies a river size, whereas the object does not.	semapv:ManualMappingCuration	2026-08-28	https://orcid.org/0000-0003-2261-9931
GloRiC:HydrologicClass	GloRiC:LargeRiver	large river	skos:broadMatch	ENVO:00000022	river	1	The subject specifies a river size, whereas the object does not.	semapv:ManualMappingCuration	2026-08-28	https://orcid.org/0000-0003-2261-9931
GloRiC:HydrologicClass	GloRiC:VeryLargeRiver	very large river	skos:broadMatch	ENVO:00000022	river	1	The subject specifies a river size, whereas the object does not.	semapv:ManualMappingCuration	2026-08-28	https://orcid.org/0000-0003-2261-9931
GloRiC:PhysioClimaticClass	GloRiC:ColdLowMediumMoisture	cold, low and medium moisture region	skos:exactMatch	SSSOM:NoMapping		1	The subject is not in ENVO.	semapv:ManualMappingCuration	2026-08-28	https://orcid.org/0000-0003-2261-9931
GloRiC:PhysioClimaticClass	GloRiC:ColdHighMoisture	cold, high moisture region	skos:exactMatch	SSSOM:NoMapping		1	The subject is not in ENVO.	semapv:ManualMappingCuration	2026-08-28	https://orcid.org/0000-0003-2261-9931
GloRiC:PhysioClimaticClass	GloRiC:WarmHotLowMoisture	warm and hot, low moisture region	skos:exactMatch	SSSOM:NoMapping		1	The subject is not in ENVO.	semapv:ManualMappingCuration	2026-08-28	https://orcid.org/0000-0003-2261-9931
GloRiC:PhysioClimaticClass	GloRiC:WarmMediumMoisture	warm, medium moisture region	skos:exactMatch	SSSOM:NoMapping		1	The subject is not in ENVO.	semapv:ManualMappingCuration	2026-08-28	https://orcid.org/0000-0003-2261-9931
GloRiC:PhysioClimaticClass	GloRiC:WarmHighMoisture	warm, high moisture region	skos:exactMatch	SSSOM:NoMapping		1	The subject is not in ENVO.	semapv:ManualMappingCuration	2026-08-28	https://orcid.org/0000-0003-2261-9931
GloRiC:PhysioClimaticClass	GloRiC:HotHighMoisture	hot, high moisture region	skos:exactMatch	SSSOM:NoMapping		1	The subject is not in ENVO.	semapv:ManualMappingCuration	2026-08-28	https://orcid.org/0000-0003-2261-9931
GloRiC:PhysioClimaticClass	GloRiC:VeryHotLowMoisture	very hot, low moisture region	skos:exactMatch	SSSOM:NoMapping		1	The subject is not in ENVO.	semapv:ManualMappingCuration	2026-08-28	https://orcid.org/0000-0003-2261-9931
GloRiC:PhysioClimaticClass	GloRiC:VeryHotHighMoisture	very hot, high moisture region	skos:exactMatch	SSSOM:NoMapping		1	The subject is not in ENVO.	semapv:ManualMappingCuration	2026-08-28	https://orcid.org/0000-0003-2261-9931
GloRiC:PhysioClimaticClass	GloRiC:ColdWarmHighElevation	cold and warm, high elevation region	skos:exactMatch	SSSOM:NoMapping		1	The subject is not in ENVO.	semapv:ManualMappingCuration	2026-08-28	https://orcid.org/0000-0003-2261-9931
GloRiC:PhysioClimaticClass	GloRiC:HotVeryHotHighElevation	hot and very hot, high elevation region	skos:exactMatch	SSSOM:NoMapping		1	The subject is not in ENVO.	semapv:ManualMappingCuration	2026-08-28	https://orcid.org/0000-0003-2261-9931
GloRiC:GeomorphicClass	GloRiC:LowStreamPower	low stream power	skos:exactMatch	SSSOM:NoMapping		1	The subject is not in ENVO.	semapv:ManualMappingCuration	2026-08-28	https://orcid.org/0000-0003-2261-9931
GloRiC:GeomorphicClass	GloRiC:MediumHighStreamPower	medium and high stream power	skos:exactMatch	SSSOM:NoMapping		1	The subject is not in ENVO.	semapv:ManualMappingCuration	2026-08-28	https://orcid.org/0000-0003-2261-9931
GloRiC:GeomorphicClass	GloRiC:LakeWetlandInfluenced	lake-wetland influenced	skos:broadMatch	SSSOM:NoMapping		1	The subject is not in ENVO.	semapv:ManualMappingCuration	2026-08-28	https://orcid.org/0000-0003-2261-9931
GloRiC:GeomorphicClass	GloRiC:UnclassifiedGeomorphic	-	skos:exactMatch	SSSOM:NoMapping		1	The subject is not in ENVO.	semapv:ManualMappingCuration	2026-08-28	https://orcid.org/0000-0003-2261-9931
